"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\app_user\app_user_editor\app_user_editor_bloc.dart", "Dart", 41, 0, 3, 44
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\app_user\app_user_editor\app_user_editor_bloc.freezed.dart", "Dart", 1374, 43, 165, 1582
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\app_user\app_user_editor\app_user_editor_event.dart", "Dart", 10, 0, 1, 11
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\app_user\app_user_editor\app_user_editor_state.dart", "Dart", 14, 0, 2, 16
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\app_user\app_user_main\app_user_bloc.dart", "Dart", 11, 0, 4, 15
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\app_user\app_user_main\app_user_bloc.freezed.dart", "Dart", 1315, 40, 137, 1492
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\app_user\app_user_main\app_user_event.dart", "Dart", 8, 0, 1, 9
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\app_user\app_user_main\app_user_state.dart", "Dart", 28, 0, 3, 31
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\auth\log_in\log_in_bloc.dart", "Dart", 72, 0, 10, 82
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\auth\log_in\log_in_bloc.freezed.dart", "Dart", 732, 34, 105, 871
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\auth\log_in\log_in_event.dart", "Dart", 9, 0, 2, 11
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\auth\log_in\log_in_state.dart", "Dart", 18, 0, 4, 22
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\auth\sign_up\sign_up_bloc.dart", "Dart", 108, 0, 14, 122
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\auth\sign_up\sign_up_bloc.freezed.dart", "Dart", 1368, 43, 157, 1568
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\auth\sign_up\sign_up_event.dart", "Dart", 11, 0, 1, 12
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\auth\sign_up\sign_up_state.dart", "Dart", 24, 0, 3, 27
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\bloc\wall_filter_bloc.dart", "Dart", 11, 1, 3, 15
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\bloc\wall_filter_bloc.freezed.dart", "Dart", 445, 28, 69, 542
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\bloc\wall_filter_event.dart", "Dart", 5, 0, 1, 6
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\bloc\wall_filter_state.dart", "Dart", 12, 0, 4, 16
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\post_editor\post_editor_bloc.dart", "Dart", 34, 0, 8, 42
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\post_editor\post_editor_bloc.freezed.dart", "Dart", 668, 34, 101, 803
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\post_editor\post_editor_event.dart", "Dart", 10, 0, 2, 12
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\post_editor\post_editor_state.dart", "Dart", 7, 0, 2, 9
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\post_watcher\post_watcher_bloc.dart", "Dart", 10, 0, 4, 14
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\post_watcher\post_watcher_bloc.freezed.dart", "Dart", 1049, 40, 133, 1222
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\post_watcher\post_watcher_event.dart", "Dart", 9, 0, 2, 11
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\post_watcher\post_watcher_state.dart", "Dart", 12, 0, 3, 15
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\wall_infinite_scroll\wall_infinite_scroll_bloc.dart", "Dart", 16, 0, 5, 21
"c:\Users\SAMSUNG\Desktop\Flutter_projects\dushka_blog\lib\application\post\wall_infinite_scroll\wall_infinite_scroll_bloc.freezed.dart", "Dart", 540, 31, 81, 652
